Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
darkersolstice                  0.00%   0.00%    11.54%     7.69%  15.38%   11.54%   3.85%  11.54%     0.00%   0.00%    0.00%     3.85%    3.85%    3.85%    0.00%    0.00%      0.00%     3.85%    7.69%   11.54%     3.85%
davidw                          6.57%   0.00%     2.92%     4.38%   2.92%   13.14%   7.30%   5.84%     2.19%   4.38%    7.30%    10.22%    6.57%    6.57%    4.38%    2.92%      5.11%     0.73%    1.46%    3.65%     1.46%
dbdkmezz                        3.94%   4.72%     4.72%     3.94%   0.79%    4.72%   2.36%   5.51%     1.57%   4.72%    7.87%     0.00%   12.60%    6.30%   14.17%    7.09%      2.36%     5.51%    3.15%    3.94%     0.00%
degran                          1.90%   7.62%     5.71%     6.67%   3.81%    8.57%   4.76%   2.86%     1.90%   3.81%    2.86%     7.62%    6.67%    7.62%    5.71%    6.67%      5.71%     0.00%    1.90%    3.81%     3.81%
dejoker                         0.00%   0.00%     0.00%     0.00%  12.50%    0.00%  25.00%   0.00%     0.00%   0.00%    0.00%     0.00%   12.50%    0.00%    0.00%   37.50%      0.00%    12.50%    0.00%    0.00%     0.00%
dels                            9.30%   4.65%     4.65%     2.33%   4.65%    2.33%   6.98%   9.30%     0.00%   4.65%    2.33%    13.95%    4.65%    2.33%    2.33%    4.65%      2.33%     2.33%    2.33%    9.30%     4.65%
doomedbunnies                   0.00%   2.38%     9.52%     9.52%   4.76%    4.76%  11.90%   4.76%     2.38%   4.76%    4.76%     2.38%    7.14%    4.76%    2.38%    7.14%      4.76%     0.00%    7.14%    4.76%     0.00%
dowsey                          2.24%   0.00%     1.49%     0.00%   4.48%   15.67%   0.75%   6.72%     2.99%   1.49%    5.22%     3.73%   10.45%    5.22%    2.24%    0.75%      6.72%     0.75%   16.42%    9.70%     2.99%
drawnonward                    19.05%   4.76%     0.00%     4.76%   4.76%    4.76%   9.52%   0.00%     9.52%   4.76%    9.52%     0.00%    4.76%    4.76%    4.76%    4.76%      0.00%     0.00%    0.00%    4.76%     4.76%
dukit                           0.99%   7.92%    10.89%     1.98%   5.94%    5.94%   2.97%   3.96%     5.94%   2.97%   10.89%     1.98%    7.92%    2.97%    4.95%    4.95%      2.97%     3.96%    3.96%    4.95%     0.99%
ekajarmstro                     5.71%   8.57%     7.14%     4.29%   7.14%    4.29%   7.14%   8.57%     5.71%   1.43%    4.29%     0.00%    4.29%    7.14%    2.86%    4.29%     10.00%     1.43%    1.43%    4.29%     0.00%
elvisnake                      13.46%   1.92%     0.00%     0.00%   0.00%    5.77%   0.00%   7.69%     5.77%   1.92%    3.85%     0.00%    3.85%    7.69%   13.46%    0.00%     23.08%     7.69%    1.92%    1.92%     0.00%
essem                           0.00%   0.00%    11.76%     0.00%   5.88%    0.00%   5.88%   5.88%     0.00%   5.88%    5.88%    11.76%   11.76%    0.00%    5.88%   17.65%      5.88%     0.00%    0.00%    0.00%     5.88%
falconhit                       3.57%   4.46%     3.57%     5.36%   0.00%    6.25%   4.46%   8.04%     5.36%   2.68%    6.25%     5.36%    6.25%    2.68%    4.46%    6.25%      8.04%     5.36%    5.36%    2.68%     3.57%
fancypants                     21.82%   3.64%     0.91%    10.00%   9.09%    6.36%   1.82%   3.64%     2.73%   3.64%    9.09%     1.82%    4.55%    2.73%    3.64%    3.64%      3.64%     1.82%    0.00%    2.73%     2.73%
fourliberties                   0.00%   0.00%     0.00%     0.00%   0.00%   20.00%   0.00%   0.00%     0.00%   0.00%   20.00%    40.00%    0.00%    0.00%   20.00%    0.00%      0.00%     0.00%    0.00%    0.00%     0.00%
Frostie                         0.00%   4.55%     0.00%     4.55%   0.00%    9.09%  18.18%   0.00%     0.00%   4.55%    4.55%     4.55%    4.55%    4.55%   13.64%    0.00%      0.00%     4.55%    9.09%   13.64%     0.00%
furbyfubar                      4.92%   1.64%     9.84%     4.92%   0.00%    6.56%   0.00%   3.28%    11.48%   0.00%    3.28%     9.84%    6.56%    9.84%    4.92%    6.56%     11.48%     4.92%    0.00%    0.00%     0.00%
gabrio                          5.56%   2.78%     5.56%     1.39%   5.56%    4.17%   1.39%   2.78%     6.94%   4.17%    5.56%     6.94%    8.33%    1.39%    2.78%    0.00%      0.00%    23.61%    5.56%    1.39%     4.17%
garethdmm                      12.50%   0.00%     0.00%    12.50%  12.50%    0.00%   0.00%  12.50%     0.00%  12.50%   12.50%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%   12.50%   12.50%     0.00%
gmantsang                       3.28%   3.28%     4.92%     8.20%   0.00%    9.84%   1.64%   1.64%     1.64%   0.00%    4.92%    11.48%    4.92%    3.28%    1.64%    4.92%      9.84%     6.56%    1.64%    8.20%     8.20%
gregdebonis                     0.00%  10.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%    10.00%  10.00%   20.00%    20.00%   10.00%   10.00%    0.00%    0.00%      0.00%     0.00%    0.00%   10.00%     0.00%
Harren                          0.00%   9.80%     5.88%     9.80%   0.00%    3.92%   0.00%   5.88%     0.00%   3.92%    1.96%     5.88%    5.88%    9.80%    7.84%    5.88%      5.88%     7.84%    1.96%    7.84%     0.00%
Hectic                          5.00%   0.00%     5.00%    10.00%   0.00%   20.00%  10.00%   5.00%     0.00%  15.00%    5.00%    10.00%    0.00%   10.00%    0.00%    0.00%      0.00%     5.00%    0.00%    0.00%     0.00%
hjkatz                         17.86%   0.00%     0.00%     3.57%   0.00%    3.57%   0.00%   3.57%    14.29%   3.57%   21.43%     7.14%   10.71%    0.00%    0.00%    3.57%      7.14%     0.00%    3.57%    0.00%     0.00%
howiie                          9.84%   6.56%     8.20%     6.56%   1.64%    1.64%  11.48%   1.64%     6.56%   4.92%    3.28%     6.56%    6.56%    0.00%    4.92%    1.64%      3.28%     6.56%    0.00%    3.28%     4.92%
humankirby                      4.21%   2.11%     9.47%     3.16%   2.11%    4.21%   2.11%   3.16%     1.05%   7.37%    4.21%     2.11%    9.47%    4.21%    0.00%    3.16%      5.26%     2.11%    9.47%   18.95%     2.11%
